Round,Date, Teama,FThome,FTaway,HThome,HTaway,,Teamb,1,2,Description
24,(Sat) 20 Jan 2018 (3),Newcastle United FC,3,1,1,0,,Manchester City FC,Manchester City FC,Newcastle United FC,Manchester City FC  Vs. Newcastle United FC
24,(Sat) 20 Jan 2018 (3),Huddersfield Town AFC,2,0,0,0,,Stoke City FC,Stoke City FC,Huddersfield Town AFC,Stoke City FC  Vs. Huddersfield Town AFC
24,(Sat) 20 Jan 2018 (3),AFC Bournemouth,1,1,0,0,,West Ham United FC,West Ham United FC,AFC Bournemouth,West Ham United FC  Vs. AFC Bournemouth
24,(Sun) 21 Jan 2018 (3),Tottenham Hotspur FC,1,1,1,1,,Southampton FC,Southampton FC,Tottenham Hotspur FC,Southampton FC  Vs. Tottenham Hotspur FC
24,(Mon) 22 Jan 2018 (4),Liverpool FC,1,0,1,0,,Swansea City AFC,Swansea City AFC,Liverpool FC,Swansea City AFC  Vs. Liverpool FC
25,(Tue) 30 Jan 2018 (5),Liverpool FC,0,3,0,2,,Huddersfield Town AFC,Huddersfield Town AFC,Liverpool FC,Huddersfield Town AFC  Vs. Liverpool FC
25,(Tue) 30 Jan 2018 (5),Arsenal FC,3,1,1,1,,Swansea City AFC,Swansea City AFC,Arsenal FC,Swansea City AFC  Vs. Arsenal FC
25,(Tue) 30 Jan 2018 (5),Crystal Palace FC,1,1,1,1,,West Ham United FC,West Ham United FC,Crystal Palace FC,West Ham United FC  Vs. Crystal Palace FC
25,(Wed) 31 Jan 2018 (5),AFC Bournemouth,0,3,0,0,,Chelsea FC,Chelsea FC,AFC Bournemouth,Chelsea FC  Vs. AFC Bournemouth
25,(Wed) 31 Jan 2018 (5),Leicester City FC,2,1,2,0,,Everton FC,Everton FC,Leicester City FC,Everton FC  Vs. Leicester City FC
25,(Wed) 31 Jan 2018 (5),West Bromwich Albion FC,3,0,1,0,,Manchester City FC,Manchester City FC,West Bromwich Albion FC,Manchester City FC  Vs. West Bromwich Albion FC
25,(Wed) 31 Jan 2018 (5),Burnley FC,1,1,0,0,,Newcastle United FC,Newcastle United FC,Burnley FC,Newcastle United FC  Vs. Burnley FC
25,(Wed) 31 Jan 2018 (5),Brighton & Hove Albion FC,1,1,0,1,,Southampton FC,Southampton FC,Brighton & Hove Albion FC,Southampton FC  Vs. Brighton & Hove Albion FC
25,(Wed) 31 Jan 2018 (5),Watford FC,0,0,0,0,,Stoke City FC,Stoke City FC,Watford FC,Stoke City FC  Vs. Watford FC
25,(Wed) 31 Jan 2018 (5),Manchester United FC,2,0,2,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Manchester United FC,Tottenham Hotspur FC  Vs. Manchester United FC
26,(Sat) 3 Feb 2018 (5),Everton FC,5,1,4,0,,Arsenal FC,Arsenal FC,Everton FC,Arsenal FC  Vs. Everton FC
26,(Sat) 3 Feb 2018 (5),Stoke City FC,2,1,0,1,,AFC Bournemouth,AFC Bournemouth,Stoke City FC,AFC Bournemouth  Vs. Stoke City FC
26,(Sat) 3 Feb 2018 (5),West Ham United FC,3,1,1,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,West Ham United FC,Brighton & Hove Albion FC  Vs. West Ham United FC
26,(Sat) 3 Feb 2018 (5),Manchester City FC,1,1,0,1,,Burnley FC,Burnley FC,Manchester City FC,Burnley FC  Vs. Manchester City FC
26,(Sat) 3 Feb 2018 (5),Swansea City AFC,1,1,1,0,,Leicester City FC,Leicester City FC,Swansea City AFC,Leicester City FC  Vs. Swansea City AFC
26,(Sat) 3 Feb 2018 (5),Huddersfield Town AFC,2,0,0,0,,Manchester United FC,Manchester United FC,Huddersfield Town AFC,Manchester United FC  Vs. Huddersfield Town AFC
26,(Sat) 3 Feb 2018 (5),Southampton FC,2,3,1,2,,West Bromwich Albion FC,West Bromwich Albion FC,Southampton FC,West Bromwich Albion FC  Vs. Southampton FC
26,(Sun) 4 Feb 2018 (5),Newcastle United FC,1,1,0,1,,Crystal Palace FC,Crystal Palace FC,Newcastle United FC,Crystal Palace FC  Vs. Newcastle United FC
26,(Sun) 4 Feb 2018 (5),Tottenham Hotspur FC,2,2,1,0,,Liverpool FC,Liverpool FC,Tottenham Hotspur FC,Liverpool FC  Vs. Tottenham Hotspur FC
26,(Mon) 5 Feb 2018 (6),Chelsea FC,4,1,1,0,,Watford FC,Watford FC,Chelsea FC,Watford FC  Vs. Chelsea FC
27,(Sat) 10 Feb 2018 (6),Crystal Palace FC,3,1,0,0,,Everton FC,Everton FC,Crystal Palace FC,Everton FC  Vs. Crystal Palace FC
27,(Sat) 10 Feb 2018 (6),Leicester City FC,5,1,1,1,,Manchester City FC,Manchester City FC,Leicester City FC,Manchester City FC  Vs. Leicester City FC
27,(Sat) 10 Feb 2018 (6),Brighton & Hove Albion FC,1,1,0,1,,Stoke City FC,Stoke City FC,Brighton & Hove Albion FC,Stoke City FC  Vs. Brighton & Hove Albion FC
27,(Sat) 10 Feb 2018 (6),Burnley FC,1,0,0,0,,Swansea City AFC,Swansea City AFC,Burnley FC,Swansea City AFC  Vs. Burnley FC
27,(Sat) 10 Feb 2018 (6),Arsenal FC,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Arsenal FC,Tottenham Hotspur FC  Vs. Arsenal FC
27,(Sat) 10 Feb 2018 (6),Watford FC,2,0,1,0,,West Ham United FC,West Ham United FC,Watford FC,West Ham United FC  Vs. Watford FC
27,(Sun) 11 Feb 2018 (6),AFC Bournemouth,4,1,2,1,,Huddersfield Town AFC,Huddersfield Town AFC,AFC Bournemouth,Huddersfield Town AFC  Vs. AFC Bournemouth
27,(Sun) 11 Feb 2018 (6),Manchester United FC,1,0,0,0,,Newcastle United FC,Newcastle United FC,Manchester United FC,Newcastle United FC  Vs. Manchester United FC
27,(Sun) 11 Feb 2018 (6),Liverpool FC,0,2,0,2,,Southampton FC,Southampton FC,Liverpool FC,Southampton FC  Vs. Liverpool FC
27,(Mon) 12 Feb 2018 (7),West Bromwich Albion FC,3,0,1,0,,Chelsea FC,Chelsea FC,West Bromwich Albion FC,Chelsea FC  Vs. West Bromwich Albion FC
28,(Sat) 24 Feb 2018 (8),Newcastle United FC,2,2,0,2,,AFC Bournemouth,AFC Bournemouth,Newcastle United FC,AFC Bournemouth  Vs. Newcastle United FC
28,(Sat) 24 Feb 2018 (8),Swansea City AFC,4,1,1,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Swansea City AFC,Brighton & Hove Albion FC  Vs. Swansea City AFC
28,(Sat) 24 Feb 2018 (8),Southampton FC,1,1,0,0,,Burnley FC,Burnley FC,Southampton FC,Burnley FC  Vs. Southampton FC
28,(Sat) 24 Feb 2018 (8),Stoke City FC,1,1,0,1,,Leicester City FC,Leicester City FC,Stoke City FC,Leicester City FC  Vs. Stoke City FC
28,(Sat) 24 Feb 2018 (8),West Ham United FC,4,1,1,0,,Liverpool FC,Liverpool FC,West Ham United FC,Liverpool FC  Vs. West Ham United FC
28,(Sat) 24 Feb 2018 (8),Everton FC,1,0,0,0,,Watford FC,Watford FC,Everton FC,Watford FC  Vs. Everton FC
28,(Sat) 24 Feb 2018 (8),Huddersfield Town AFC,1,2,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Huddersfield Town AFC,West Bromwich Albion FC  Vs. Huddersfield Town AFC
28,(Sun) 25 Feb 2018 (8),Tottenham Hotspur FC,0,1,0,0,,Crystal Palace FC,Crystal Palace FC,Tottenham Hotspur FC,Crystal Palace FC  Vs. Tottenham Hotspur FC
28,(Sun) 25 Feb 2018 (8),Chelsea FC,2,1,1,1,,Manchester United FC,Manchester United FC,Chelsea FC,Manchester United FC  Vs. Chelsea FC
28,(Thu) 1 Mar 2018 (9),Manchester City FC,0,3,0,3,,Arsenal FC,Arsenal FC,Manchester City FC,Arsenal FC  Vs. Manchester City FC
29,(Sat) 3 Mar 2018 (9),Everton FC,2,1,0,1,,Burnley FC,Burnley FC,Everton FC,Burnley FC  Vs. Everton FC
29,(Sat) 3 Mar 2018 (9),AFC Bournemouth,1,1,0,1,,Leicester City FC,Leicester City FC,AFC Bournemouth,Leicester City FC  Vs. AFC Bournemouth
29,(Sat) 3 Mar 2018 (9),Newcastle United FC,2,0,1,0,,Liverpool FC,Liverpool FC,Newcastle United FC,Liverpool FC  Vs. Newcastle United FC
29,(Sat) 3 Mar 2018 (9),Stoke City FC,0,0,0,0,,Southampton FC,Southampton FC,Stoke City FC,Southampton FC  Vs. Stoke City FC
29,(Sat) 3 Mar 2018 (9),West Ham United FC,4,1,2,0,,Swansea City AFC,Swansea City AFC,West Ham United FC,Swansea City AFC  Vs. West Ham United FC
29,(Sat) 3 Mar 2018 (9),Huddersfield Town AFC,2,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Huddersfield Town AFC,Tottenham Hotspur FC  Vs. Huddersfield Town AFC
29,(Sat) 3 Mar 2018 (9),West Bromwich Albion FC,1,0,0,0,,Watford FC,Watford FC,West Bromwich Albion FC,Watford FC  Vs. West Bromwich Albion FC
29,(Sun) 4 Mar 2018 (9),Arsenal FC,2,1,2,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Arsenal FC,Brighton & Hove Albion FC  Vs. Arsenal FC
29,(Sun) 4 Mar 2018 (9),Chelsea FC,1,0,0,0,,Manchester City FC,Manchester City FC,Chelsea FC,Manchester City FC  Vs. Chelsea FC
29,(Mon) 5 Mar 2018 (10),Manchester United FC,2,3,1,0,,Crystal Palace FC,Crystal Palace FC,Manchester United FC,Crystal Palace FC  Vs. Manchester United FC
30,(Sat) 10 Mar 2018 (10),Crystal Palace FC,2,1,2,0,,Chelsea FC,Chelsea FC,Crystal Palace FC,Chelsea FC  Vs. Crystal Palace FC
30,(Sat) 10 Mar 2018 (10),Brighton & Hove Albion FC,2,0,0,0,,Everton FC,Everton FC,Brighton & Hove Albion FC,Everton FC  Vs. Brighton & Hove Albion FC
30,(Sat) 10 Mar 2018 (10),Swansea City AFC,0,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Swansea City AFC,Huddersfield Town AFC  Vs. Swansea City AFC
30,(Sat) 10 Mar 2018 (10),Liverpool FC,2,1,2,0,,Manchester United FC,Manchester United FC,Liverpool FC,Manchester United FC  Vs. Liverpool FC
30,(Sat) 10 Mar 2018 (10),Southampton FC,3,0,2,0,,Newcastle United FC,Newcastle United FC,Southampton FC,Newcastle United FC  Vs. Southampton FC
30,(Sat) 10 Mar 2018 (10),Leicester City FC,1,4,1,1,,West Bromwich Albion FC,West Bromwich Albion FC,Leicester City FC,West Bromwich Albion FC  Vs. Leicester City FC
30,(Sat) 10 Mar 2018 (10),Burnley FC,0,3,0,0,,West Ham United FC,West Ham United FC,Burnley FC,West Ham United FC  Vs. Burnley FC
30,(Sun) 11 Mar 2018 (10),Watford FC,3,0,1,0,,Arsenal FC,Arsenal FC,Watford FC,Arsenal FC  Vs. Watford FC
30,(Sun) 11 Mar 2018 (10),Tottenham Hotspur FC,1,4,1,1,,AFC Bournemouth,AFC Bournemouth,Tottenham Hotspur FC,AFC Bournemouth  Vs. Tottenham Hotspur FC
30,(Mon) 12 Mar 2018 (11),Manchester City FC,0,2,0,1,,Stoke City FC,Stoke City FC,Manchester City FC,Stoke City FC  Vs. Manchester City FC
